,nAcid,ALogP,ALogp2,AMR,naAromAtom,nAromBond,nN,nO,ATS6m,ATS8m,ATS5v,ATS6v,ATS7v,ATS8v,ATS6e,ATS7e,ATS8e,ATS6p,ATS7p,ATS8p,ATS7i,ATS8i,ATS1s,ATS2s,ATS6s,ATS7s,ATS8s,AATS2m,AATS5m,AATS6m,AATS7m,AATS8m,AATS1v,AATS2v,AATS3v,AATS4v,AATS5v,AATS6v,AATS7v,AATS8v,AATS2e,AATS4e,AATS5e,AATS6e,AATS7e,AATS8e,AATS0p,AATS1p,AATS3p,AATS4p,pChemBL
2299,0.072182752700596,0.004804596768329457,0.13088948792885677,0.39133767458890834,-0.3992542862537943,-0.10794757518341694,-0.2942641380158136,0.32220215132758917,0.6882287687043117,-0.04222957871458228,-0.22567085919448518,-0.5125932892722209,-0.02471434769551431,0.6149650581588184,-0.15357046227075072,0.24262169395163383,0.5480525558957249,-0.2381406071854187,-0.40031119017197153,0.3570539570504461,-0.4895567855906295,0.051768801745248706,-0.0987815009396924,0.052804451055614175,-0.407989830634215,-0.49099415913138156,-0.15865341945553627,-0.2532862116714773,-0.16742331210238046,0.43332304834287233,0.2726581768416669,0.5441407860210531,-0.5694400264677774,0.8637301899967887,-0.9733219980549882,1.0282101103167256,-0.5751729438367684,0.7946444572468238,0.6845148009821529,0.7242095074300203,0.11052586507980101,-0.0012294467425691164,-0.012561294598214338,0.03846593143525281,-0.04026754356981821,-0.03500815420485811,-0.6273848978217329,-0.7119308519159648,-0.7497404694354953,1.3849780274224586,6.14
2831,1.4388251786473976,1.3265306885173647,-0.07835332071735329,-0.15446189209253647,-0.6579564152015139,1.3683335557905607,0.6836545272801198,-0.004182635703557907,0.4684635699499798,0.34891585489424104,2.2164064639216776,0.25168121734650434,0.10839584302989295,1.2247126174810739,0.6026456144528128,1.0223470250852336,0.5417927059777925,0.22042886629887393,1.809198838234418,0.8564797761562578,0.1087833452617704,0.10623034381796566,0.6434626563270991,1.028632172505099,1.8052445056592588,0.6054049043131131,0.7895259642829693,1.5508262819188043,1.5730212317511902,-0.22365879455405127,0.9685052290416866,0.3167686697281378,-1.2289738375345027,-1.0576475707131308,-0.1815465540870264,0.08954051029921581,0.12072281455585991,-1.4210300052601461,0.7221589045806829,-0.10314718688052076,0.6223677265781465,0.45708492297190273,0.3861196980771804,0.2586420627069292,0.2733412697832639,0.3097749019738461,-0.08264121913187898,0.738805734502536,-0.04472092756046284,-0.02663927750136675,8.14
2800,0.67957938645473,0.6656676426428471,-0.09696445607057204,-0.3316152245492446,-1.6894929681182802,0.48256487720617414,0.30653061883476057,1.5398812938862079,0.7427522752239971,0.3799469120291448,0.22345289006713742,0.33380151341005804,0.393118436834901,0.7860027283120525,0.4025594120210707,0.6869503372384859,1.1493830609279911,0.1571958219865607,0.15982845252320502,0.7040842454563689,0.32796761585818796,0.45285780886705274,0.37434548764354664,0.715104321383356,0.6442656997813108,-0.5034682817034085,0.5966436014463494,0.34808461952528325,0.5367922208057271,0.4684158385134931,1.0023928886893534,0.4108122429646925,-1.411512373035512,0.35288769321342933,-0.1815465540870264,-0.07300340703367865,0.35988624201674035,-1.4210300052601461,-0.4518665763984798,-0.7698708855705358,0.26545619241668794,0.2366759986108393,0.26180796694902364,0.20077443949927698,0.20836848690547147,0.188970940150925,0.25232259467648305,0.01343744129328554,0.06712900552492103,-0.4765214516949175,5.87
206,-0.6870630394920715,-0.656058449106188,-0.21614738542971423,0.03030547620747421,-0.06247537190590256,-0.8460881406704057,0.22054962019360932,0.2249700549310829,0.2607410268288732,-0.32041213480232217,-0.4523137009110021,0.2974103089398187,-0.29258902613802634,-0.8065844726015585,0.22316613909373878,-0.7721969118187696,-0.17119163153519962,-0.5186271940678877,-0.4833953178949359,-0.8971400133904164,0.3380490839367801,-0.2872496925170363,0.14426402510613456,-0.7416430425780975,0.15778627872123427,-0.3927855118602607,-0.35487920440524356,-0.8546570428682378,-0.7807435358092646,-0.03417445261423349,0.4769022230363324,0.6334081142887839,-2.401233160640755,1.2106456240574743,-0.023191465293434042,-0.6833504770927108,0.06073532254418349,-0.4813458525678614,0.1151477340543824,-0.02766903231183997,-0.14188446343447134,0.15215572113540718,0.15587956308368764,0.18511743006088757,0.19669696340763496,0.12466138668235027,-0.39810206617440747,-0.34924670531133967,1.1094417653350475,-0.33605790591574836,7.96
970,-0.231515564176471,-0.12736801240657405,-0.12083986126544469,0.03026553704248628,-0.2269830301493395,-0.2555756882808147,0.23191695336450155,-0.9402019115075206,-0.18852603527591097,0.18413080063022347,-0.06870095920237722,0.4482150804797237,0.5551441439752519,0.5758605466798862,0.30975768516623003,-0.8901835703856111,-0.6848075278803454,-0.11506121711736919,-0.16658723638951356,0.19120115005000496,0.5573579411243302,0.7102510685822938,0.2152405890324733,-0.8866040652561228,1.8827572896172233,1.4492202238463974,-0.25421806790969675,-0.6542000991359843,-0.43504130266389796,0.6128277841254589,0.2105013596270854,0.6258805839665563,0.03689064331496316,0.3940600730177953,0.45187380108734304,-0.6833504770927108,0.6563868365249449,1.3120675767093986,-0.6965532497889266,-0.7369701515277775,0.2618482581542105,0.566274862897598,0.5872505097857094,0.5466274543992523,0.5980100175845103,0.5562164498200344,0.2535635214279965,0.3761215878979107,-0.06240051642464729,0.6047316334362567,6.47
369,-0.838912197930605,-0.9204036674559951,-0.1429589696928341,0.09214247356802799,-0.8019427834494649,-0.8460881406704057,-2.0092039739271947,-2.0430169577127613,-1.428998399058155,-1.4627646557577305,-1.2640699400301836,-0.5620670802228832,-0.9529971121470997,0.2148722398391482,-1.276947690053545,-1.9817776360811188,-0.6622793150392315,0.42928408460586387,-1.1816100142412593,-0.1528681553804082,-0.8134934589060175,-1.305696449716074,-0.892519983056799,-1.5441687951021739,-1.30363426975594,-0.46974472839137527,-1.4666427928274142,-1.4560278740649983,-0.8495004415937824,0.28869163675867165,0.29883180817141963,0.2962699404189599,1.1853012824329938,0.5587495979993921,-0.33990164288061875,-0.6833504770927108,0.5455279562300873,-0.23943973866769291,-1.1741628141952793,-0.18733435928404968,-1.749910711000727,-1.4115709006471877,-1.2298849877716809,-1.3338374092070748,-1.2801170335956535,-1.3825519794634253,-0.9520464117815376,-1.0746149985205902,1.6179363629261148,-0.3319144190310027,5.29
2442,0.072182752700596,0.004804596768329457,0.1309503426268972,0.3913294169198153,-0.4193636858557329,-0.10794757518341694,-0.29346298657784875,0.9200566686300353,0.7387697336086223,-0.04274434347522568,-0.2255803508360952,-0.512519483814248,-0.025957481750072887,0.6194434944663013,-0.1535868062459396,0.24358637204569814,0.9787960138774404,-0.23852013181119217,-0.40003592478870836,0.3659047611731099,-0.48961578721653976,0.05018234051597432,-0.09880370153727137,0.05344196952280838,-0.407989830634215,-0.49099415913138156,-0.24156802335286504,-0.2532862116714773,-0.1739354659106787,0.4288033659959612,0.27012312198260124,0.5342810993300223,-0.5636114805382992,0.8637301899967887,-0.9733219980549882,1.119070889780901,-0.28551607950712854,0.7678737656429035,0.8892046142991611,0.01974673145566509,0.08835521439658453,-0.0053335509746760225,-0.018654931404282368,0.04117031712877593,-0.04610570198683584,-0.03928893793040714,-0.6183176290949822,-0.7119308519159648,-0.7497406084525438,0.9101071856062996,7.89
821,0.67957938645473,0.7978402518177505,-0.24883680399647862,-0.13883280574613402,-0.1004666049514973,0.6301929903035719,1.2000466647338435,-0.029644655865536624,-0.2826209614401109,0.4578398527332466,0.47806558430088864,1.5904343349310106,0.6000920554661673,0.41682014267926615,1.2559407391011548,0.48435806632671824,0.13581033074527402,0.21821792173068097,0.21916480782725567,0.15293785038681118,1.767250731927347,0.7199822197499824,1.1664843637234878,0.46415737792295286,-0.6564665430063198,-0.36004930063928314,-0.010181286161772527,0.1476276757930297,0.4969246177630107,1.3167535531864398,0.1714690275303007,0.5922680702459721,0.25880801670240167,-0.15729180719502364,0.9269390674681202,-0.6833504770927108,0.46803927299989795,1.755847656252513,-0.1483609911353296,0.6806644182557814,0.8872298274186211,1.0548436159693835,1.079040625157334,1.145181895907702,1.1619576094882853,1.1777761341669906,1.35158133848451,0.01343744129328554,0.5250954289426891,0.21946867807056764,6.85
913,0.67957938645473,0.7978402518177505,-0.24450233978709265,-0.25132029445462367,1.1083487056801176,0.6301929903035719,0.3874248102020659,-0.8451297290155593,0.05462486041926578,0.9171348232752593,0.9300568237349582,-0.07173924171194455,0.6477274432257362,0.811354119131259,0.45804393633507645,-1.4592106008815167,-0.1387669838733163,1.144062604829036,0.8997159459605923,0.25496828444608033,-0.19887614581841828,0.5326942932703046,0.5607239883703243,-1.4119320596193325,0.8715331449729816,0.8057548563645321,0.7609494193991556,-0.2532862116714773,-0.4958134052595418,1.3383331414355113,-2.0923297546204163,0.729461191426011,-1.126594761435367,0.18445522828133834,0.7685839786745278,-0.6833504770927108,-0.12085506858403235,0.924040530226751,-0.1483609911353296,-1.0804925216801073,0.8393011982267521,0.9944201178334922,1.0242569417201703,1.0664803830343068,1.1067255929991078,1.1117027890533095,1.1626123826235877,0.738805734502536,-0.06247809315899644,0.15610214754623417,7.05
50,-2.5092529407544735,-2.374302368379934,-0.17261274551649802,0.7929584301833532,-3.240674349792348,-2.765253610936577,-0.9241962309712894,0.7829360328244875,0.935638913929435,-4.728977815009065,-2.693329366585198,-1.8823202688845329,-3.7018824394033962,-1.0587657404722914,-3.023272181155481,-1.756789372565844,0.1991267385290078,-0.9924180270578181,-1.921618132501746,-0.791697215952562,-2.1364108667015507,-3.2079202688797364,-3.385180477977178,-1.9213152147015986,-2.867655708978968,-0.8838287073913003,-1.3661662892412616,-3.059683423923026,-1.8325691578636258,-1.564001449884587,2.40279989267997,-2.0794084359766636,0.07724730691609968,3.852540045754131,-1.9234525308165424,-0.6833504770927108,-1.109657627417742,-1.4210300052601461,0.19984696715107544,-1.0369474325058683,-6.539240447645485,-5.423305028887009,-5.177365116449308,-4.793266770464118,-4.6795745703602485,-4.35254324239222,-1.617676003089425,-2.162667438334466,1.0689208845966298,-2.189809572771383,5.02
2151,-1.5981579901232725,-1.5812667133305127,-0.1606134212493711,-0.07792486033731616,0.6576220331194919,-1.4366005930599968,-0.43103025322227934,0.23715417225550461,0.3532511020075726,-0.5704751465647239,-0.9488812337463589,-1.1674044017351235,-0.767017629326672,-1.3803950772640814,-0.9018903857829683,-0.4678597031845977,0.08168850710358393,-0.6442965627669159,-1.0821393863173085,-1.0899970792465408,-1.0933091200610403,-0.7667771183211832,-0.884099611700628,-0.5647850572334767,0.5948659650548695,-0.34591783683274885,-0.006317145586684717,-0.8546570428682378,-0.952411874484715,-1.564001449884587,-0.0336880414725796,-2.0794084359766636,0.16246322465515875,1.0957806446900373,-1.2900321756421729,-0.6833504770927108,-1.109657627417742,-0.014286781093780634,-0.9600619749786384,0.7513042295828801,-0.9872436054559197,-1.0884701110316957,-1.1318704846632066,-1.176427995307661,-1.1443791827173124,-1.169184164324432,-1.2707653476334646,0.01343744129328554,1.1536509184819352,-0.688575063012112,6.97
104,-0.6870630394920715,-0.656058449106188,-0.09379789406128305,0.363710080954801,0.9164862190460984,-0.8460881406704057,-0.3385212720512337,-0.3299595074052699,0.05332252576555329,0.11726984914789784,-0.9798868892687901,0.055567315688062446,-0.12386659671526064,-0.03543074218329112,0.372786980469786,-0.4621241649944,0.12339248111574139,-0.006159063165408437,-0.9143543692788726,0.18559909105142824,0.08197052216915655,-0.19561443724888444,0.4947706908554421,-0.6762331666317657,-0.5620961108354856,1.265772022503679,-0.1454658668294001,-0.8546570428682378,-1.341257184233657,-0.18913704064708656,-0.7253530160861837,0.395034407605518,-1.3457028042167207,0.8332321319498757,-0.49825673167421114,0.6326582503471391,-0.4252076784411071,-0.1921266051927414,0.20690523657579987,-0.658588991014147,-0.09912006632945086,-0.027977941799397152,0.034160283196950705,-0.03762333209224986,-0.03665927237572947,-0.0716829286929302,-0.44497837515339306,-0.34924670531133967,-0.049066076190635514,-0.41729350689177974,6.75
908,0.67957938645473,0.7978402518177505,-0.24448981361850927,-0.25211686144733986,0.9228082359519941,0.6301929903035719,0.38738328505264075,-0.8461614817603721,0.05460596718368686,0.9059781368301723,0.8713158086758831,-0.07180433207676534,0.6226041009358647,0.7088679675154156,0.45800285123699574,-1.4611742904909548,-0.15376776619080265,1.133222953928577,0.8740325364091329,0.12588116452874484,-0.19895429191926017,0.49962784848589864,0.5606956755011179,-1.417606498037372,0.4318107386529329,0.8528284232787187,0.7489595943814595,-0.2532862116714773,-0.1529572004521967,1.270580888259394,-2.075614012430867,0.7068731500259726,-1.0428251676183558,0.009784518570157916,0.7685839786745278,-0.6833504770927108,-0.12085506858403235,0.924040530226751,-0.1483609911353296,-1.0766218470868414,0.7306612623501831,0.952280104233113,0.9701776988646829,1.0183771435887683,1.067977473441738,1.0607433308210084,1.1724614991356639,0.738805734502536,-0.06250016162594589,0.15885540924665645,7.8
